Column1,Column2,Column3,Column4,Column5,Column6
Berkshire Hathaway,"18500 Von Karman Ave, Ste 400, Irvine, CA 92612",(949) 794-7900,Corporate HQ,ir@berkshirehathaway.com,Conglomerate
BMW Group,"Petuelring 130, 80809 Munich, Germany",+49 89 3820,Customer Service,customerservice@bmwgroup.com,Automotive
BrightSpring Health Services,"805 N. Whittington Pkwy, Louisville, KY 40222",(502) 630-7431,Investor Relations,ir@brightspringhealth.com,Healthcare
Broadcom,"1320 Ridder Park Drive, San Jose, CA 95131",(408) 433-8000,Investor Relations,investor.relations@broadcom.com,Semiconductors
Bullish Group,United States Office (NY/DE),N/A,Press Office,press@bullish.com,Fintech/Crypto
BYD USA,"Walnut St, Pasadena, CA 91101",(213) 748-3980,Marketing US,marketing.us@byd.com,Automotive/Energy
Campbell's,"1 Campbell Pl, Camden, NJ 08103",(856) 342-4800,Media Relations,media_relations@campbellsoup.com,Food & Beverage
Carnival Corporation,"3655 N.W. 87 Avenue, Miami, FL 33178",(305) 599-2600,Beth Roberts,ir@carnival.com,Travel/Leisure
Charles Schwab,"3000 Schwab Way, Westlake, TX 76262",(817) 859-5000,Investor Relations,investorrelations@schwab.com,Financial Services
Circle (USDC),"99 High Street, Suite 1701, Boston, MA 02110",N/A,Support Team,support@circle.com,Fintech/Stablecoin
Citigroup,"388 Greenwich St, New York, NY 10013",(212) 559-1000,Investor Relations,ir@citi.com,Banking
Coca-Cola,"1 Coca-Cola Plaza, Atlanta, GA 30313",(404) 676-2121,Board Relations,asktheboard@coca-cola.com,Food & Beverage
Coinbase Global,"Remote HQ / 1999 Bryan St, Dallas, TX",(888) 908-7930,Investor Relations,investor@coinbase.com,Fintech/Crypto
Conagra Brands,"222 W. Merchandise Mart Plaza, Chicago, IL 60654",(312) 549-5002,Investor Relations,IR@conagra.com,Food & Beverage
Constellation Brands,"50 East Broad Street, Rochester, NY 14614",(877) 411-6248,Media Relations,press@cbrands.com,Beverages
Constellation Energy,"1310 Point Street, Baltimore, MD 21231",(667) 218-7700,Investor Relations,investorrelations@constellation.com,Energy
CoreWeave,"290 W Mt Pleasant Ave, Livingston, NJ 07039",(973) 270-9737,Sales Team,sales@coreweave.com,Cloud/AI
Coty Inc,"350 Fifth Avenue, New York, NY 10118",(212) 389-7300,Corporate Media,press@cotyinc.com,Consumer Goods
CVS Health,"One CVS Drive, Woonsocket, RI 02895",(401) 765-1500,Investor Relations,investorrelations@cvshealth.com,Healthcare
DHT Holdings,"Clarendon House, 2 Church Street, Hamilton, Bermuda",+1 441 295 1422,Laila Halvorsen,info@dhtankers.com,Shipping
Dianthus Therapeutics,"7 Times Square, Ste 4302, New York, NY 10036",(929) 999-4055,Clinical Team,clinicaltrials@dianthustx.com,Biotech
Digital Realty Trust,"601 W 2nd St, 32nd Floor, Austin, TX 78701",(737) 281-0101,Sales Team,sales@digitalrealty.com,Data Centers/REIT
89bio,"655 Montgomery St, Ste 1500, San Francisco, CA 94111",(415) 432-9274,HQ Main,info@89bio.com,Biotech
Element Solutions,"500 E Broward Blvd # 1860, Fort Lauderdale, FL 33394",N/A,Main HQ,info@elementsolutionsinc.com,Chemicals
E.l.f. Beauty,"601 12th Street, Oakland, CA 94607",N/A,Investor Relations,ir@elfbeauty.com,Beauty
Eli Lilly,"Lilly Corporate Center, Indianapolis, IN 46285",(317) 276-2000,Sustainability,sustainability@lilly.com,Healthcare
Enterprise Products Partners,"1100 Louisiana Street, 10th Floor, Houston, TX 77002",(713) 381-6500,Royalty Relations,OwnerAddress.BankChanges@Eprod.com,Energy
Equinix,"One Lagoon Drive, Redwood City, CA 94065",(650) 598-6000,Analyst Relations,analystrelations@equinix.com,Data Centers
Estee Lauder,"767 Fifth Avenue, New York, NY 10153",(212) 572-4200,Investor Relations,irdept@elcompanies.com,Beauty
eToro Group,"221 River St, 9th Floor, Hoboken, NJ 07030",N/A,Support Team,support@etoro.com,Fintech
Fifth Third Bancorp,"38 Fountain Square Plaza, Cincinnati, OH 45263",(800) 972-3030,Main Office,ir@53.com,Banking
Firefly Aerospace,"2203 Scottsdale Dr, Leander, TX 78641",(512) 270-2710,HQ Main,info@firefly.com,Aerospace
Gabelli Funds,"One Corporate Center, Rye, NY 10580",(914) 921-3700,Main Desk,info@gabelli.com,Asset Management
Goldman Sachs,"200 West Street, New York, NY 10282",(212) 902-1000,Investor Relations,gs-investor-relations@gs.com,Banking
Hormel Foods,"1 Hormel Place, Austin, MN 55912",(507) 437-5611,Consumer Support,consumer@hormel.com,Food & Beverage
IDACORP,"1221 W. Idaho St, Boise, ID 83702",(208) 388-2200,Investor Relations,ir@idacorpinc.com,Energy
Intel,"2200 Mission College Blvd, Santa Clara, CA 95054",(408) 765-8080,Investor Relations,invest@intel.com,Semiconductors
Interactive Brokers,"One Pickwick Plaza, Greenwich, CT 06830",(203) 618-5800,Customer Service,help@interactivebrokers.com,Financial Services
Jefferies Financial Group,"520 Madison Avenue, New York, NY 10022",(212) 284-2300,Main Office,investorrelations@jefferies.com,Banking
JP Morgan Chase,"383 Madison Ave, New York, NY 10179",(212) 270-6000,Investor Relations,investor.relations@jpmchase.com,Banking
KKR & Co.,"30 Hudson Yards, New York, NY 10001",(212) 750-8300,Investor Relations,investor-relations@kkr.com,Private Equity
Klarna Group,"Sveavägen 46, SE-111 34 Stockholm, Sweden",+46 8 120 120 00,Main Desk,feedback@klarna.com,Fintech
Life Time Group Holdings,"2902 Corporate Place, Chanhassen, MN 55317",(952) 229-7401,Connor Wienberg,investorrelations@lifetime.life,Health/Fitness
L'Oreal,"41 Rue Martre, 92110 Clichy, France",+33 1 47 56 70 00,Investor Relations,corp-ir@loreal.com,Beauty
Madison Square Garden Sports,"2 Penn Plaza, New York, NY 10121",(212) 465-6000,Corporate HQ,ir@msg.com,Sports/Entertainment
Mercedes-Benz Group,"Mercedesstraße 120, 70372 Stuttgart, Germany",+49 711 170,Media Relations,dialog@mercedes-benz.com,Automotive
Microsoft,"One Microsoft Way, Redmond, WA 98052",(425) 882-8080,Main Desk,msft@microsoft.com,Technology
MNTN,"823 Congress Avenue #1827, Austin, TX 78768",(855) 765-7161,Media PR,press@mountain.com,Advertising Technology
Morgan Stanley,"1585 Broadway, New York, NY 10036",(212) 761-4000,Investor Relations,investorrelations@morganstanley.com,Banking
Newsmax Media,"P.O. Box 20989, West Palm Beach, FL 33416",(561) 686-1165,Customer Service,jobs@newsmax.com,Media
Norwegian Cruise Line,"7665 Corporate Center Drive, Miami, FL 33126",(305) 468-2339,Investor Relations,ir@nclh.com,Travel/Leisure
NuScale Power,"1100 NE Circle Blvd, Ste 350, Corvallis, OR 97330",(541) 360-0500,Main HQ,info@nuscalepower.com,Energy/Nuclear
Nvidia,"2788 San Tomas Expy, Santa Clara, CA 95051",(408) 486-2000,HQ Main,info@nvidia.com,AI/Chips
Oklo Inc,"230 Harry Byrd Highway, Suite 202, Sterling, VA 20164",N/A,Investor Relations,investors@oklo.com,Energy/Nuclear
ON Semiconductor,"5701 North Pima Road, Scottsdale, AZ 85250",(602) 244-6600,Investor Relations,investor@onsemi.com,Semiconductors
Opendoor Technologies,"PO Box 526, 6320 Passons Blvd, Pico Rivera, CA 90660",N/A,Press Office,press@opendoor.com,Real Estate Tech
Option Care Health,"3000 Lakeside Drive, Ste 300N, Bannockburn, IL 60015",(844) 742-2504,Main Desk,info@optioncare.com,Healthcare
Oracle,"2300 Oracle Way, Austin, TX 78741",(737) 867-1000,Investor Relations,investor_relations_ww@oracle.com,Technology
Philip Morris Int'l,"120 Park Avenue, New York, NY 10017",(917) 663-2000,Investor Relations,investorrelations@pmi.com,Consumer Goods
PNC Financial Services,"300 Fifth Avenue, Pittsburgh, PA 15222",(412) 762-8258,Bryan K. Gill,investor.relations@pnc.com,Banking
Procter & Gamble,"1 P&G Plaza, Cincinnati, OH 45202",(513) 983-1100,Media Relations,MediaRelations.shared@pg.com,Consumer Goods
Robinhood Markets,"85 Willow Rd, Menlo Park, CA 94025",(888) 275-8052,Press Office,press@robinhood.com,Fintech
Roche Holding,"Grenzacherstrasse 124, 4070 Basel, Switzerland",+41 61 688 11 11,Patient Care,patientcare@roche.com,Healthcare
Roivant Sciences,"151 W. 42nd St, 15th Floor, New York, NY 10036",(646) 495-0522,Main HQ,info@roivant.com,Biotech
Royal Caribbean Group,"1050 Caribbean Way, Miami, FL 33132",(305) 539-6000,Corporate Comms,CorporateCommunications@rccl.com,Travel/Leisure
Samsung Electronics,"85 Challenger Rd, Ridgefield Park, NJ 07660",(201) 229-4000,Main Support,support@samsung.com,Technology
Shake Shack,"225 Varick Street, Ste 301, New York, NY 10003",(844) 742-2504,Alison Sternberg,investor@shakeshack.com,Food & Beverage
Shenzhen Mindray,"Mindray Building, Keji 12th Rd South, Shenzhen, China",+86 755 8188 8997,Global Market,intl-market@mindray.com,Healthcare/MedTech
SL Green Realty,"One Vanderbilt Ave, New York, NY 10017",(212) 594-2700,General Inquiries,General.Inquiries@slgreen.com,Real Estate
Smithfield Foods,"200 Commerce Street, Smithfield, VA 23430",(757) 365-3000,Julie MacMedan,ir@smithfield.com,Food & Beverage
SoftBank Group,"1-7-1 Kaigan, Minato-ku, Tokyo, Japan",+81 3 6889 2000,Corporate HQ,irdesk@softbank.co.jp,Investment/Tech
Stellantis,"1000 Chrysler Dr, Auburn Hills, MI 48326",(248) 576-5741,Maura Cook,media@stellantis.com,Automotive
StubHub Holdings,"1209 Orange Street, Wilmington, DE 19801",N/A,Partners Program,partners@stubhub.com,E-commerce/Tickets
TSMC,"8, Li-Hsin Rd. 6, Hsinchu Science Park, Taiwan",+886 3-5636688,Investor Relations,invest@tsmc.com,Semiconductors
Tencent Holdings,"Tencent Binhai Towers, Nanshan, Shenzhen, China",+86 755 8601 3388,Investor Relations,ir@tencent.com,Technology
Tesla,"1 Tesla Road, Austin, TX 78725",(877) 798-3752,Press Office,press@tesla.com,Automotive/Energy
Texas Instruments,"12500 TI Blvd, Dallas, TX 75243",(972) 995-2011,Main Directory,investor_relations@ti.com,Semiconductors
Tyson Foods,"2200 W. Don Tyson Parkway, Springdale, AR 72762",(479) 290-4000,Consumer Relations,comments@tyson.com,Food & Beverage
Ulta Beauty,"1000 Remington Blvd, Ste 120, Bolingbrook, IL 60440",(630) 410-4800,Guest Services,investorrelations@ulta.com,Retail/Beauty
UnitedHealth Group,"9900 Bren Rd E, Minnetonka, MN 55343",(952) 936-1300,Sustainability,sustainability@uhg.com,Healthcare
V2X Inc,"7901 Jones Branch Dr, McLean, VA 22102",(703) 790-0500,Main HQ,info@gov2x.com,Defense/Technology
Viking Holdings,"5700 Canoga Avenue, Woodland Hills, CA 91367",(818) 227-1234,Investor Relations,investorrelations@viking.com,Travel/Leisure
Vistra Corp,"6555 Sierra Drive, Irving, TX 75039",(214) 812-0046,Investor Relations,investor@vistracorp.com,Energy
Volkswagen Group,"Berliner Ring 2, 38440 Wolfsburg, Germany",+49 5361 90,Main Email,vw@volkswagen.de,Automotive
Voyager Technologies,"1225 17th Street, Ste 1100, Denver, CO 80202",(303) 500-6985,Main HQ,info@voyager.space,Aerospace
Walmart,"702 SW 8th St, Bentonville, AR 72716",(479) 273-4000,Investor Relations,IR@walmart.com,Retail
Walt Disney Company,"500 S Buena Vista St, Burbank, CA 91521",(818) 560-1000,Corporate Press,press@disney.com,Entertainment
Warner Bros. Discovery,"4000 Warner Boulevard, Burbank, CA 91522",(818) 954-1910,Public Affairs,Michael.Walbrecht@warnerbros.com,Entertainment
WaterBridge Infra,"5555 San Felipe, Ste 1200, Houston, TX 77056",(713) 230-8864,Main HQ,contact@wbinfra.com,Energy Infrastructure
WEC Energy Group,"231 W. Michigan St, Milwaukee, WI 53203",(414) 221-2345,Main HQ,investor_relations@wecenergygroup.com,Energy
Wells Fargo,"420 Montgomery Street, San Francisco, CA 94104",(800) 869-3557,Investor Relations,investorrelations@wellsfargo.com,Banking
Welltower,"4500 Dorr Street, Toledo, OH 43615",(419) 247-2800,Krishna Soma,info@welltower.com,Real Estate/Healthcare
Western Midstream,"9950 Woodloch Forest Dr, Ste 2800, The Woodlands, TX 77380",(832) 636-1009,Investor Relations,investor@westernmidstream.com,Energy
WH Group,"1 Austin Road, Kowloon, Hong Kong",+852 2868 2828,Investor Relations,investor@wh-group.com,Food & Beverage
Workday Inc,"6110 Stoneridge Mall Road, Pleasanton, CA 94588",(925) 951-9000,Leah Bauer,ir@workday.com,Software
New York Times (Newsroom),"620 Eighth Ave, New York, NY 10018",(212) 556-1234,Corrections Desk,corrections@nytimes.com,Media
Wired Magazine,"520 Third St, San Francisco, CA 94107",(415) 276-5000,Andy Greenberg,mail@wired.com,Media
The New Yorker,"1 World Trade Center, New York, NY 10007",(800) 825-2510,Adolph Ochs,customerservice@newyorker.com,Media
Vice Magazine,"49 S 2nd St, Brooklyn, NY 11249",(718) 599-3101,Press Office,press@vice.com,Media
Vogue,"1 World Trade Center, New York, NY 10007",(800) 234-2347,Customer Service,help.vogue@condenast.com,Media
Penguin Publishers,"1745 Broadway, New York, NY 10019",(212) 782-9000,Consumer Svc,consumerservices@penguinrandomhouse.com,Publishing
Norton Publishing,"500 Fifth Ave, New York, NY 10110",(212) 354-5500,Main Email,email@wwnorton.com,Publishing
Milkweed Publishers,"1011 Washington Ave S, Minneapolis, MN 55415",(612) 332-3192,Morgan LaRocca,morgan_larocca@milkweed.org,Publishing
Blancpain Ocean Initiative,"Chemin de l'Etang 6, 1094 Paudex, Switzerland",+41 21 796 36 36,Main Desk,info@blancpain.com,Conservation/Project
Normal Phenomenon of Life,"London, UK",N/A,Contact Email,info@normalphenomena.life,Lifestyle/Biotech
GetHarley,"Dogpatch Labs, The CHQ Building, Dublin, Ireland",N/A,Practitioner Login,support@getharley.com,Skincare/Telehealth
Liontrust Global Innovation,"2 Savoy Court, London, WC2R 0EZ, UK",+44 20 7412 1700,Clare Pleydell,info@liontrust.co.uk,Asset Management
Richard Mille Watches,"Place de la Résistance, 2340 Le Noirmont, Switzerland",+41 32 957 66 00,Main HQ,contact@richardmille.com,Luxury Goods
Alpine Cars,"5 Avenue de la Marne, 92100 Boulogne-Billancourt, France",+33 1 76 84 04 04,Support,contact@alpinecars.com,Automotive
Tetra Pak,"24800 Denso Drive, Southfield, MI 48033",(940) 565-8800,Main Support,info.usa@tetrapak.com,Packaging
Apollo E-scooters,"8030 Rue Jarry E, Anjou, QC H1J 1H5, Canada",(833) 246-3028,Support,support@apolloscooters.co,Transport/EV
Mistral AI,"15 Rue des Halles, 75001 Paris, France",N/A,HQ Main,contact@mistral.ai,AI/Software
H AI (hcompany.ai),"8 rue Sainte-Cécile, 75009 Paris, France",N/A,Contact,contact@hcompany.ai,AI/Software
Spore.Bio,"10 Rue Treilhard, 75008 Paris, France",N/A,HQ Main,contact@spore.bio,Biotech
NcodiN,"42 Cr Pierre Vasseur, 91120 Palaiseau, France",N/A,HQ Main,contact@ncodin.com,Semiconductors
Sweep DataOps,"Paris, France",N/A,Book a Demo,hello@sweep.io,Data/Software
Atlar Fintech,"Stockholm, Sweden",N/A,Treasury Team,hello@atlar.com,Fintech
Lovable (GPT Engineer),"Stockholm, Sweden",N/A,Support,support@lovable.dev,AI/Software
Papershell,"Tuagatan 5, 543 50 Tibro, Sweden",N/A,Finance Dept,finance@papershell.se,Furniture/Biotech
Leya GenAI,"Stockholm, Sweden",N/A,Legal Consult,support@leya.law,Legal AI
SuperNormal,"New York, NY",N/A,Support,help@supernormal.com,AI/Software
H2 GreenSteel,"Norra Stationsgatan 93A, Stockholm, Sweden",N/A,Main HQ,info@h2greensteel.com,Clean Industry
Neko Health,"Stockholm, Sweden",+46 8-502 427 76,HQ Main,hello@nekohealth.com,MedTech
Smitten Kitten,"2223 E 35th St, Minneapolis, MN 55407",(612) 721-6088,Retail HQ,shipping@smittenkittenonline.com,Retail
Pebl MN Landscaping (NEC),"1819 Dupont Ave S, Minneapolis, MN 55403",(612) 226-3063,LRI Division,info@pebl.design,Construction/Landscaping
BTRY AG,"Überlandstrasse 129, 8600 Dübendorf, Switzerland",N/A,Jeronimo,jeronimo@btry.ch,Energy/Battery
Univerbal,"Zurich, Switzerland",N/A,Judith,help@univerbal.app,AI/Language
Yokoy AI Fintech,"Zurich, Switzerland",N/A,Customer Care,support@yokoy.ai,Fintech
Nanoflex Robotics,"Sägereistrasse 21, 8152 Glattbrugg, Switzerland",N/A,HQ Main,info@nanoflexrobotics.com,MedTech/Robotics
Riskwolf AG,"Neeserweg 16, 8048 Zurich, Switzerland",N/A,Thomas Krapf,contact@riskwolf.com,Insurtech
Decentriq AG,"Josefstrasse 219, 8005 Zürich, Switzerland",N/A,HQ Main,hello@decentriq.com,Cybersecurity
LatticeFlow AI,"Förrlibuckstrasse 70, 8005 Zürich, Switzerland",N/A,Main HQ,contact@latticeflow.ai,AI/Software
Oxyle AG,"Wagistrasse 21, 8952 Schlieren, Switzerland",N/A,Fajer Mushtaq,mail@oxyle.ch,CleanTech
