DHT Holdings,,,,,,,,,,,,,,,,,,,,,,,,,
Dianthus Therapeutics,,,,,,,,,,,,,,,,,,,,,,,,,
Digital Realty Trust,,,,,,,,,,,,,,,,,,,,,,,,,
Dimensional International Value,,,,,,,,,,,,,,,,,,,,,,,,,
Dimensional US Equity Market,,,,,,,,,,,,,,,,,,,,,,,,,
89bio,,,,,,,,,,,,,,,,,,,,,,,,,
Element Solutions,,,,,,,,,,,,,,,,,,,,,,,,,
E.l.f. Beauty,,,,,,,,,,,,,,,,,,,,,,,,,
Eli Lilly,,,,,,,,,,,,,,,,,,,,,,,,,
EnterPrise Products Partners,,,,,,,,,,,,,,,,,,,,,,,,,
,,Enterprise Products,,Petroleum of Texas,,,,,,,,,,,,,,,,,,,,,
Equinix,,,,,,,,,,,,,,,,,,,,,,,,,
Estee Lauder,,,,,,,,,,,,,,,,,,,,,,,,,
EToro Group,,,,,,,,,,,,,,,,,,,,,,,,,
Fidelity Enhanced Large Cap,,,,,,,,,,,,,,,,,,,,,,,,,
Fifth Third Bancorp,,,,,,,,,,,,,,,,,,,,,,,,,
Figma,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Select Sector SPDR,,,,,,,,,,,,,,,,,,,,,,,,,
Firefly Aerospace,,,,,,,,,,,,,,,,,,,,,,,,,
Gabelli Gold Fund,,,,,,,,,,,,,,,,,,,,,,,,,
Gabelli Utilities,,,,,,,,,,,,,,,,,,,,,,,,,
Goldman Sachs,,,,,,,,,,,,,,,,,,,,,,,,,
Hartford Strategic Income,,,,,,,,,,,,,,,,,,,,,,,,,
Health Care Select Sector,,,,,,,,,,,,,,,,,,,,,,,,,
Hormel Foods,,,,,,,,,,,,,,,,,,,,,,,,,
IdaCorp,,,,,,,,,,,,,,,,,,,,,,,,,
Intel,,,,,,,,,,,,,,,,,,,,,,,,,
Interactive Brokers Group,,,,,,,,,,,,,,,,,,,,,,,,,
Invesco QQQ Trust,,,,,,,,,,,,,,,,,,,,,,,,,
iShares Core S&P,,,,,,,,,,,,,,,,,,,,,,,,,
iShares iBoxx $ Investmt Grade Corp Bond,,,,,,,,,,,,,,,,,,,,,,,,,
iShares STOXX Europe 600 Autos and Parts,,,,,,,,,,,,,,,,,,,,,,,,,
iShares U.S. Treasury Bond,,,,,,,,,,,,,,,,,,,,,,,,,
Janus Henderson Us Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,
Jefferies Financial Group,,,,,,,,,,,,,,,,,,,,,,,,,
JP-Morgan Equity Income,,,,,,,,,,,,,,,,,,,,,,,,,
JP Morgan Mortgage-Backed Securities,,,,,,,,,,,,,,,,,,,,,,,,,
KKR,,,,,,,,,,,,,,,,,,,,,,,,,
Klarna Group,,,,,,,,,,,,,,,,,,,,,,,,,
Life Time Group Holdings,,,,,,,,,,,,,,,,,,,,,,,,,
Loomis Sayles Bond,,,,,,,,,,,,,,,,,,,,,,,,,
L'Oreal,,,,,,,,,,,,,,,,,,,,,,,,,
Madison Square Garden Sports,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-Benz Group,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,,,,,,,,,,,,,,,,,,,,,,,,,
MNTN,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan Stanley,,,,,,,,,,,,,,,,,,,,,,,,,
NewsMax,,,,,,,,,,,,,,,,,,,,,,,,,
Norwegian Cruise Lines Holdings,,,,,,,,,,,,,,,,,,,,,,,,,
NuScale Power,,,,,,,,,,,,,,,,,,,,,,,,,
Nvidia,,,,,,,,,,,,,,,,,,,,,,,,,
Oklo,,,,,,,,,,,,,,,,,,,,,,,,,
ON Semiconductor,,,,,,,,,,,,,,,,,,,,,,,,,
Opendoor Technologies,,,,,,,,,,,,,,,,,,,,,,,,,
Option Care Health,,,,,,,,,,,,,,,,,,,,,,,,,
Oracle,,,,,,,,,,,,,,,,,,,,,,,,,
Philip Morris International,,,,,,,,,,,,,,,,,,,,,,,,,
Pipco Enhanced Short Maturity Active,,,,,,,,,,,,,,,,,,,,,,,,,
Pimco Global Bond Opports,,,,,,,,,,,,,,,,,,,,,,,,,
Pimco Income,,,,,,,,,,,,,,,,,,,,,,,,,
PNC Financial Services,,,,,,,,,,,,,,,,,,,,,,,,,
Procter & Gamble,,,,,,,,,,,,,,,,,,,,,,,,,
Renaissance IPO,,,,,,,,,,,,,,,,,,,,,,,,,
Robinhood Markets,,,,,,,,,,,,,,,,,,,,,,,,,
Roche Holding,,,,,,,,,,,,,,,,,,,,,,,,,
Roivant Sciences,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Caribbean Group,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Electronics,,,,,,,,,,,,,,,,,,,,,,,,,
Shake Shack,,,,,,,,,,,,,,,,,,,,,,,,,
Shezhen Mindray Bio-Medical Electronics,,,,,,,,,,,,,,,,,,,,,,,,,
SL Green Realty,,,,,,,,,,,,,,,,,,,,,,,,,
Smithfield Foods,,,,,,,,,,,,,,,,,,,,,,,,,
SoftBank Group,,,,,,,,,,,,,,,,,,,,,,,,,
Stellantis,,,,,,,,,,,,,,,,,,,,,,,,,
StubHub Holdings,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan Semiconductor,,,,,,,,,,,,,,,,,,,,,,,,,
Technology Select Sectore SPDR,,,,,,,,,,,,,,,,,,,,,,,,,
Tencent Holdings,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Instruments,,,,,,,,,,,,,,,,,,,,,,,,,
Touchstone Strategic Income,,,,,,,,,,,,,,,,,,,,,,,,,
Tyson Foods,,,,,,,,,,,,,,,,,,,,,,,,,
Ulta Beauty,,,,,,,,,,,,,,,,,,,,,,,,,
UnitedHealth Group,,,,,,,,,,,,,,,,,,,,,,,,,
V2X,,,,,,,,,,,,,,,,,,,,,,,,,
Vanguard Mortgage-Backed Securities,,,,,,,,,,,,,,,,,,,,,,,,,
Vanguard Total Bond Market,,,,,,,,,,,,,,,,,,,,,,,,,
Viking Holdinds,,,,,,,,,,,,,,,,,,,,,,,,,
Vistra,,,,,,,,,,,,,,,,,,,,,,,,,
Volkswagen,,,,,,,,,,,,,,,,,,,,,,,,,
Voyager Technologies,,,,,,,,,,,,,,,,,,,,,,,,,
Walmart,,,,,,,,,,,,,,,,,,,,,,,,,
Walt Disney,,,,,,,,,,,,,,,,,,,,,,,,,
Warner Brothers,,,,Grant Hill,,,,,,,,,,,,,,,,,,,,,
WaterBridge Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,
WEC Energy Group,,,,,,,,,,,,,,,,,,,,,,,,,
Wells Fargo,,,,,,,,,,,,,,,,,,,,,,,,,
Welltower,,,,,,,,,,,,,,,,,,,,,,,,,
Western Midstream Partners,,,,,,,,,,,,,,,,,,,,,,,,,
WH Group,,,,,,,,,,,,,,,,,,,,,,,,,
Workday,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,European Tech-Startup Crossover,,,,,,,,,,,,,,,,
Newsroom @  ,New York Times,,Corrections,,corrections@nytimes.com,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Wired Magazine,,,,Andy Greenberg,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
The NewYorker,,,,Adolph Ochs,,,,,,,,,,,,,,,,,,,,,
,,,,Patrick Healy,,,,,,,,,,,,,,,,,,,,,
Vice Magazine,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Vogue,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Penguin Publishers,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Norton Publishing,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MilkWeed Publishers,,,(612) 332-3192,,Book Store Phone:,,(612) 215-2540,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Blanq-Pain Ocean Initiative,,,,,,,,,clean water project,,,,,,,,,,,,,,,,
,Blanq-Pain Rolex Collaboration,,,,,,,,,,,,,,,,,,,,,,,,
UBS Banking,,,,,,,,,,,,,,,,,,,,,,,,,
RBC Banking,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Bank US,,,,,,,,,,,,,,,,,,,,,,,,,
Wings Financial,,,,,,,,,,,,,,,,,,,,,,,,,
USbank,,,,,,,,,,,,,,,,,,,,,,,,,
UPS,,,,,,,,,,,,,,,,,,,,,,,,,
Fed Ex,,,,,,,,,,,,,,,,,,,,,,,,,
Pictet Investments,,,,,,,,,,,,,,,,,,,,,,,,,
GetHarley SkinCare,,,,,,,,,,,,,,,,,,,,,,,,,
Versace,,,,,,,,,,,,,,,,,,,,,,,,,
LionTrust Global Innovations,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Mille Watches,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Cars,,,,,,,,,,,,,,,,,,,,,,,,,
Spyder Cars,,,,,,,,,,,,,,,,,,,,,,,,,
Payments Unbound,,,,,,,,,,,,,,,,,,,,,,,,,
MR Maps,,,,,,,,,,,,,,,,,,,,,,,,,
Sarps Pixley Gold Standard,,,,,,,,,,,,,,,,,,,,,,,,,
Normal Phenomenon of Life,,,,,,,,,,,,,,,,,,,,,,,,,
VirusTotal,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub,,,,,,,,,,,,,,,,,,,,,,,,,
Tetra Pak,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung x John Lewis x Ralph Lauren,,,,,,,,,,,,,,,,,,,,,,,,,
Wired Consulting,,,,,,,,,,,,,,,,,,,,,,,,,
Apollo E-scooters,,,,,,,,,,,,,,,,,,,,,,,,,
Robin AI,,,,,,,,,,,,,,,,,,,,,,,,,
Gaia Family,,,,,,,,,,,,,,,,,,,,,,,,,
Sylvera,,,,,,,,,,,,,,,,,,,,,,,,,
Containerville,,,,,,,,,,,,,,,,,,,,,,,,,
Opua x Carbon Romovale,,,,,,,,,,,,,,,,,,,,,,,,,
PhysicsX,,,,,,,,,,,,,,,,,,,,,,,,,
Lindus Health,,,,,,,,,,,,,,,,,,,,,,,,,
Field Batteries,,,,,,,,,,,,,,,,,,,,,,,,,
Newcleo,,,,,,,,,,,,,,,,,,,,,,,,,
Volt Payments,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon Equity,,,,,,,,,,,,,,,,,,,,,,,,,
Overstory Project,,,,,,,,,,,,,,,,,,,,,,,,,
Coolgradient Energy,,,,,,,,,,,,,,,,,,,,,,,,,
Monumental Housing,,,,,,,,,,,,,,,,,,,,,,,,,
Bloom + Wolf,,,,,,,,,,,,,,,,,,,,,,,,,
Weaviate,,,,,,,,,,,,,,,,,,,,,,,,,
Cradel BioPlastics,,,,,,,,,,,,,,,,,,,,,,,,,
Solvimon Fintech,,,,,,,,,,,,,,,,,,,,,,,,,
10x Contract Consulting,,,,,,,,,,,,,,,,,,,,,,,,,
Haaven Tinyhouses,,,,,,,,,,,,,,,,,,,,,,,,,
Slay Digital Apps,,,,,,,,,,,,,,,,,,,,,,,,,
Dryad Wildfire detection,,,,,,,,,,,,,,,,,,,,,,,,,
Qdrant vector Databases,,,,,,,,,,,,,,,,,,,,,,,,,
Ovan Care Fertility,,,,,,,,,,,,,,,,,,,,,,,,,
Jina AI,,,,,,,,,,,,,,,,,,,,,,,,,
Endel Music App,,,,,,,,,,,,,,,,,,,,,,,,,
Cambrium Protein Engineering,,,,,,,,,,,,,,,,,,,,,,,,,
TheBlood Fertility Testing,,,,,,,,,,,,,,,,,,,,,,,,,
UltiHash Energy Conservation,,,,,,,,,,,,,,,,,,,,,,,,,
BlueLayer Carbon Credits,,,,,,,,,,,,,,,,,,,,,,,,,
Noloco No-Code Apps,,,,,,,,,,,,,,,,,,,,,,,,,
CaliberAI,,,,,,,,,,,,,,,,,,,,,,,,,
Tines,,,,,,,,,,,,,,,,,,,,,,,,,
Automation Platform,,,,,,,,,,,,,,,,,,,,,,,,,
Antler Bio,,,,,,,,,,,,,,,,,,,,,,,,,
Inspeq AI,,,,,,,,,,,,,,,,,,,,,,,,,
Gazelle Wind Power,,,,,,,,,,,,,,,,,,,,,,,,,
OpenVolt,,,,,,,,,,,,,,,,,,,,,,,,,
BareSpace.io,,,,,,,,,,,,,,,,,,,,,,,,,
EdgeTier,,,,,,,,,,,,,,,,,,,,,,,,,
ReOrbit Sattelites as IoT,,,,,,,,,,,,,,,,,,,,,,,,,
Realm Digital Search,,,,,,,,,,,,,,,,,,,,,,,,,
Paebbl Concrete Co.,,,,,,,,,.Nec Pebl MN,LandScaping Supply,,,,,,,,,,,,,,,
Distance Technologies,,,,,,,,,,,,,,,,,,,,,,,,,
Steady Energy,,,,,,,,,,,,,,,,,,,,,,,,,
Enifer (Waste-to-food-sciences) BioProteins,,,,,,,,,,,,,,,,,,,,,,,,,
Skyfora Sattelites,,,,,,,,,,,,,,,,,,,,,,,,,
Swarmia Sofware Platform,,,,,,,,,,,,,,,,,,,,,,,,,
Raava Sartups,,,,,,,,,,,,,,,,,,,,,,,,,
Neuraspace Satellites,,,,,,,,,,,,,,,,,,,,,,,,,
MyCareForce Medical,,,,,,,,,,,,,,,,,,,,,,,,,
"Sheerme ""Uber For Salons'",,,,,,,,,,,,,,,,,,,,,,,,,
Glooma Medical,,,,,,,,,,,,,,,,,,,,,,,,,
Oscar HomeCare,,,,,,,,,,,,,,,,,,,,,,,,,
Ubbu Code-Learning Platform,,,,,,,,,,,,,,,,,,,,,,,,,
Sqill Video Editor,,,,,,,,,,,,,,,,,,,,,,,,,
Paynest Finance Management,,,,,,,,,,,,,,,,,,,,,,,,,
Bhout Smart-Boxing-Bag,,,,,,,,,,,,,,,,,,,,,,,,,
Onum DataSecOps,,,,,,,,,,,,,,,,,,,,,,,,,
Luzia AI,,,,,,,,,,,,,,,,,,,,,,,,,
Uelz Payments,,,,,,,,,,,,,,,,,,,,,,,,,
Jucuyi HealthCare,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Communications,,,,,,,,,,,,,,,,,,,,,,,,,
DMW,,,,,,,,,,,,,,,,,,,,,,,,,
Tech.Exec Magazine,,,,,,,,,,,,,,,,,,,,,,,,,
iFeel Mental Health,,,,,,,,,,,,,,,,,,,,,,,,,
Boopos Mergers + Acquisitions,,,,,,,,,,,,,,,,,,,,,,,,,
Shakers Temp Agency,,,,,,,,,,,,,,,,,,,,,,,,,
Seniors HomeCare,,,,,,,,,,,,,,,,,,,,,,,,,
InvoPop Invoices,,,,,,,,,,,,,,,,,,,,,,,,,
Embat Finance,,,,,,,,,,,,,,,,,,,,,,,,,
Electra Car Chargers,,,,,,,,,,,,,,,,,,,,,,,,,
Amo Social Media,,,,,,,,,,,,,,,,,,,,,,,,,
Bioptimus Health,,,,,,,,,,,,,,,,,,,,,,,,,
Mistral AI,,,,,,,,,,,,,,,,,,,,,,,,,
H AI ,,,,,,,,,(hcompany.ai,,,,,,,,,,,,,,,,
Spore.Bio,,,,,,,,,Sanitation,,,,,,,,,,,,,,,,
NcodiN,,,,,,,,,Semis,,,,,,,,,,,,,,,,
Sweep DataOps,,,,,,,,,,,,,,,,,,,,,,,,,
Dust AI,,,,,,,,,custom bots,,,,,,,,,,,,,,,,
Atlar Cunsumer Fintech,,,,,,,,,,,,,,,,,,,,,,,,,
Lovable (GPT Engineer,,,,,,,,,,,,,,,,,,,,,,,,,
Papershell Furniture,,,,,,,,,,,,,,,,,,,,,,,,,
Leya GenAI,,,,,,,,,,,,,,,,,,,,,,,,,
SuperNormal Agenda Software,,,,,,,,,,,,,,,,,,,,,,,,,
H2 GreenSteel,,,,,,,,,(Hydrogen Steel,,,,,,,,,,,,,,,,
Neko Health,,,,,,,,,,,,,,,,,,,,,,,,,
Smitten Kitten,,Minneapolis,,,,,,,,,,,,,,,,,,,,,,,
Fever Energy,,,,,,,,,(VVPs,,,,,,,,,,,,,,,,
Erroc cloud sec.,,,,,,,,,,,,,,,,,,,,,,,,,
Estud Hygiene,,,,,,,,,,,,,,,,,,,,,,,,,
BTRY,,,,,,,,,,,,,,,,,,,,,,,,,
Univerbal,,,,,,,,,,,,,,,,,,,,,,,,,
Beezelabs Cardio,,DSI US,,API Int.,,,,,,,,,,,,,,,,,,,,,
Yokoy AI Fintech,,,,,,,,,,,,,,,,,,,,,,,,,
Nanoflex Robotics,,,,,,,,,,,,,,,,,,,,,,,,,
Riskwolf,,,,,,,,,,,,,,,,,,,,,,,,,
Decentriq,,,,,,,,,,,,,,,,,,,,,,,,,
LatticeFlow,,,,,,,,,,,,,,,,,,,,,,,,,
Oxyle,,,,,,,,,,,,,,,,,,,,,,,,,
Brothers Pest Control,,,,,,,,,,,,,,,,,,,,,,,,,
Markings office supplies,,,,,,,,,,,,,,,,,,,,,,,,,
BlueDiamond Europe,,,,,,,,,,,,,,,,,,,,,,,,,
BlueDiamond SouthAm.,,,,,,,,,,,,,,,,,,,,,,,,,
EA Games,,,,,,,,,,,,,,,,,,,,,,,,,
Ubisoft,,,,,,,,,,,,,,,,,,,,,,,,,
Treyarch Studios,,,,,,,,,,,,,,,,,,,,,,,,,
Xbox Game Studios,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
